date,open,high,low,close,volume,day_vwap,prev_vwap,gap,gap_std,gap_z
2026-01-19,2071.2,2096.2,2071.0,2080.5,29284,2086.1914230751718,2082.275022366884,-11.075022366884241,7.495008851613413,-1.4776530069741247
2026-01-20,2100.0,2115.7,2070.1,2077.5,461126,2077.58047670268,2086.1914230751718,13.80857692482823,8.12938405169581,1.6986006365325705
2026-01-21,2073.0,2084.0,2055.1,2078.0,328448,2073.2622218230385,2077.58047670268,-4.580476702679789,7.975448838249038,-0.5743221222500382
2026-01-22,2089.0,2099.7,2068.8,2087.0,492870,2084.8079014750338,2073.2622218230385,15.737778176961456,8.611292747971392,1.827574399984124
2026-01-23,2093.3,2098.8,2074.9,2076.0,415151,2079.0163762101024,2084.8079014750338,8.492098524966423,8.427605701906417,1.007652567685436
2026-01-26,2072.5,2076.5,2027.0,2036.1,274888,2040.8507460007954,2079.0163762101024,-6.516376210102408,8.47847605160934,-0.7685787127824113
2026-01-27,2033.4,2042.5,2019.0,2022.0,195213,2024.6593018907554,2040.8507460007954,-7.450746000795334,8.545212053923622,-0.8719205508041485
2026-01-28,2023.8,2032.0,1991.0,2003.8,341713,2005.477092764981,2024.6593018907554,-0.8593018907554324,8.296753327979816,-0.10357086161131712
2026-01-29,2007.9,2025.1,2006.0,2025.1,498986,2021.408093747453,2005.477092764981,2.422907235019011,8.051780927447613,0.30091569267111995
2026-01-30,2026.6,2042.0,2025.2,2035.0,288545,2032.3232364680264,2021.408093747453,5.191906252546914,7.868674460096086,0.6598196785082802
2026-02-02,2032.0,2032.0,1979.0,2004.9,385366,2001.8819728950318,2032.3232364680264,-0.32323646802637995,7.673097027813376,-0.04212594560641097
2026-02-03,2019.9,2024.8,1996.2,2000.0,305829,2002.054827043871,2001.8819728950318,18.01802710496827,8.447585988933058,2.1329202364525406
2026-02-04,1999.8,2017.9,1982.1,2010.0,392703,2009.7960593629282,2002.054827043871,-2.254827043871046,8.107529578588624,-0.27811517947783687
2026-02-05,2005.6,2009.6,1955.0,1972.1,843161,1971.3415892496612,2009.7960593629282,-4.196059362928281,8.182740250143919,-0.5127939094552684
2026-02-06,1961.6,1971.8,1948.6,1951.3,456103,1956.750020134341,1971.3415892496612,-9.741589249661274,8.483779460696526,-1.1482605476476495
2026-02-09,1964.5,1970.4,1952.3,1955.8,196012,1956.7964361025518,1956.750020134341,7.749979865659043,8.510227383569667,0.9106666034119838
2026-02-10,1960.6,1980.0,1930.0,1966.1,505352,1966.1161038906214,1956.7964361025518,3.803563897448157,8.289455569417859,0.4588436315987479
2026-02-11,1968.0,2021.9,1967.4,2018.0,342781,2015.1553253146078,1966.1161038906214,1.883896109378611,8.273585727570572,0.22770007725922145
2026-02-12,2024.9,2028.0,2015.4,2021.0,237550,2020.8275619167894,2015.1553253146078,9.744674685392283,8.346708556095056,1.1674871142201777
2026-02-13,2020.2,2022.3,2009.0,2010.5,107946,2011.9459813239953,2020.8275619167894,-0.6275619167893183,8.349221114221127,-0.07516412707293135
2026-02-23,2033.0,2049.1,2031.5,2044.0,145743,2042.355124202649,2011.9459813239953,21.054018676004716,8.788286783508735,2.3956909002460742
2026-02-24,2041.9,2046.9,2032.2,2046.6,144653,2045.0592682718877,2042.355124202649,-0.4551242026489035,8.487096219370315,-0.053625432171979154
2026-02-25,2055.0,2066.8,2044.2,2046.5,257326,2048.6135477954035,2045.0592682718877,9.940731728112269,8.438547555687778,1.1780145413071688
2026-02-26,2043.3,2077.7,2043.3,2067.0,349961,2067.9786028538415,2048.6135477954035,-5.313547795403565,8.150328988003753,-0.6519427379219208
2026-02-27,2066.9,2072.5,2048.1,2053.6,188989,2053.846255954932,2067.9786028538415,-1.078602853841403,8.062224692474327,-0.1337847672303432
2026-03-02,2034.6,2050.0,2015.0,2015.0,311262,2022.44356319328,2053.846255954932,-19.246255954932167,9.196755279908285,-2.0927224188490205
2026-03-03,2017.7,2020.0,1950.1,1952.0,325912,1961.1952510698184,2022.44356319328,-4.743563193279897,9.078592253588214,-0.5224998612978852
2026-03-04,1941.1,1956.5,1911.7,1956.0,248525,1948.5012055125237,1961.1952510698184,-20.09525106981846,10.285783087504159,-1.953691896753246
2026-03-05,1973.6,1978.8,1920.1,1924.8,334961,1931.491782426412,1948.5012055125237,25.098794487476198,11.657187687253742,2.1530745803226488
2026-03-06,1917.9,1936.4,1894.9,1898.9,370958,1904.6695885607894,1931.491782426412,-13.59178242641201,12.11063996103146,-1.122300924653564
2026-03-09,1816.7,1829.6,1766.0,1766.0,55886,1785.7964862994907,1904.6695885607894,-87.96958856078936,23.258380460067166,-3.7822748970774778
2026-03-10,1818.9,1844.8,1803.9,1833.0,364480,1832.7208671714957,1785.7964862994907,33.10351370050944,24.221079846631508,1.3667232803046656
2026-03-11,1840.5,1894.4,1835.1,1883.0,377919,1878.535345933917,1832.7208671714957,7.779132828504316,24.33762307775208,0.3196340416503331
2026-03-12,1866.6,1869.3,1845.0,1853.0,414225,1853.8701664554287,1878.535345933917,-11.935345933917006,24.42995470475288,-0.4885537479770672
2026-03-13,1835.6,1877.5,1834.6,1840.0,430682,1845.0579497943572,1853.8701664554287,-18.270166455428807,24.63234349355194,-0.7417145047612472
2026-03-16,1847.7,1858.6,1836.8,1851.4,133615,1850.7331616959175,1845.0579497943572,2.6420502056428177,24.539594482886745,0.10766478669748648
2026-03-17,1868.0,1908.8,1867.8,1877.0,204316,1880.5633552927818,1850.7331616959175,17.266838304082512,24.929562116295553,0.6926250137701297
2026-03-18,1896.1,1909.0,1876.2,1881.9,264675,1887.7497874752055,1880.5633552927818,15.536644707218102,25.24775307086693,0.6153674215526784
2026-03-19,1844.1,1869.0,1843.0,1858.2,112092,1858.4246217392854,1887.7497874752055,-43.649787475205585,26.714430168835015,-1.6339404284253576
2026-03-20,1841.0,1841.9,1791.4,1802.0,479917,1801.8875673640791,1858.4246217392854,-17.424621739285385,26.8424712574731,-0.6491437234727138
2026-03-23,1775.0,1784.8,1740.0,1740.0,378358,1744.9391676666016,1801.8875673640791,-26.887567364079132,26.478151928881346,-1.0154623871143822
2026-03-24,1766.0,1780.8,1759.5,1773.8,373114,1771.9359441529039,1744.9391676666016,21.060832333398366,27.225856482873688,0.7735599556490205
