entry_time,exit_time,direction,entry_px,exit_px,pnl_pts,exit_reason
2022-01-04 09:30:00,2022-01-04 09:40:00,short,1548.0,1548.2954552711067,-1.7355,stop
2022-01-04 10:00:00,2022-01-04 10:00:00,short,1549.5,1549.3412062797163,-1.2812,stop
2022-01-04 10:20:00,2022-01-04 10:20:00,short,1550.1,1550.0530358584824,-1.393,stop
2022-01-04 10:40:00,2022-01-04 10:40:00,short,1549.9,1550.099285964869,-1.6393,stop
2022-01-04 11:00:00,2022-01-04 11:00:00,short,1555.4,1552.4411942939278,1.5188,stop
2022-01-04 11:20:00,2022-01-04 11:20:00,short,1556.7,1555.3418916067321,-0.0819,stop
2022-01-04 13:30:00,2022-01-04 13:30:00,short,1560.7,1560.5971167402722,-1.3371,stop
2022-01-04 14:05:00,2022-01-04 14:05:00,short,1562.5,1562.1343852970683,-1.0744,stop
2022-01-05 09:30:00,2022-01-05 09:30:00,long,1556.2,1556.1927206390992,-1.4473,stop
2022-01-05 09:55:00,2022-01-05 10:00:00,short,1557.7,1558.5022753276696,-2.2423,stop
2022-01-05 10:55:00,2022-01-05 10:55:00,long,1554.7,1553.876471038239,-2.2635,stop
2022-01-05 13:30:00,2022-01-05 13:30:00,long,1552.4,1551.4185037321784,-2.4215,stop
2022-01-05 14:10:00,2022-01-05 14:10:00,long,1549.6,1549.3239276497052,-1.7161,stop
2022-01-05 14:30:00,2022-01-05 14:35:00,long,1549.5,1550.8,-0.14,session_end
2022-01-06 09:30:00,2022-01-06 09:45:00,short,1546.7,1548.2028426556897,-2.9428,stop
2022-01-06 10:20:00,2022-01-06 10:35:00,short,1547.6,1546.1,0.06,target
2022-01-06 11:15:00,2022-01-06 11:15:00,short,1550.7,1549.9688146730819,-0.7088,stop
2022-01-06 13:35:00,2022-01-06 13:45:00,long,1551.5,1553.1,0.16,target
2022-01-06 13:50:00,2022-01-06 13:50:00,short,1554.9,1555.4185693020966,-1.9586,stop
2022-01-06 14:15:00,2022-01-06 14:15:00,long,1551.3,1549.715132045379,-3.0249,stop
2022-01-07 09:40:00,2022-01-07 09:40:00,long,1539.1,1539.340378299765,-1.1996,stop
2022-01-07 10:00:00,2022-01-07 11:20:00,long,1538.8,1535.271060986766,-4.9689,stop
2022-01-07 13:30:00,2022-01-07 13:45:00,short,1542.0,1539.4,1.16,target
2022-01-07 13:55:00,2022-01-07 14:20:00,long,1534.1,1539.7,4.16,target
2022-01-10 09:45:00,2022-01-10 09:45:00,long,1536.8,1536.8851213789221,-1.3549,stop
2022-01-10 10:05:00,2022-01-10 10:05:00,long,1535.9,1536.0775184876113,-1.2625,stop
2022-01-10 10:25:00,2022-01-10 10:25:00,long,1531.4,1531.565010914954,-1.275,stop
2022-01-10 10:45:00,2022-01-10 11:05:00,long,1531.0,1528.9304105777935,-3.5096,stop
2022-01-10 13:30:00,2022-01-10 13:45:00,long,1529.7,1527.882993852405,-3.257,stop
2022-01-10 14:05:00,2022-01-10 14:05:00,long,1524.5,1523.9083465822473,-2.0317,stop
2022-01-10 14:25:00,2022-01-10 14:25:00,long,1519.9,1519.9757828424008,-1.3642,stop
2022-01-11 09:35:00,2022-01-11 09:45:00,long,1512.5,1516.9,2.96,target
2022-01-11 09:45:00,2022-01-11 09:55:00,short,1516.9,1514.8,0.66,target
2022-01-11 10:25:00,2022-01-11 10:25:00,short,1516.9,1518.2984461331912,-2.8384,stop
2022-01-11 11:05:00,2022-01-11 11:05:00,long,1512.9,1511.599106787934,-2.7409,stop
2022-01-11 13:30:00,2022-01-11 13:35:00,short,1517.8,1516.2,0.16,target
2022-01-11 13:45:00,2022-01-11 13:45:00,long,1514.8,1512.7516761381019,-3.4883,stop
2022-01-11 14:05:00,2022-01-11 14:05:00,long,1509.4,1508.90772084674,-1.9323,stop
2022-01-11 14:25:00,2022-01-11 14:35:00,long,1506.3,1502.3,-5.44,session_end
2022-01-12 09:50:00,2022-01-12 09:50:00,short,1498.4,1500.1527854754288,-3.1928,stop
2022-01-12 10:10:00,2022-01-12 11:05:00,short,1506.8,1500.5,4.86,target
2022-01-12 11:15:00,2022-01-12 11:30:00,long,1488.3,1496.7,6.96,session_end
2022-01-12 13:45:00,2022-01-12 13:45:00,short,1498.4,1500.7515627159528,-3.7916,stop
2022-01-12 14:10:00,2022-01-12 14:10:00,short,1511.2,1513.1792513544876,-3.4193,stop
2022-01-12 14:30:00,2022-01-12 14:35:00,short,1524.0,1525.9,-3.34,session_end
2022-01-13 09:55:00,2022-01-13 10:00:00,long,1531.8,1532.9,-0.34,target
2022-01-13 10:05:00,2022-01-13 10:05:00,short,1535.4,1536.2764030770627,-2.3164,stop
2022-01-13 10:30:00,2022-01-13 10:55:00,short,1538.8,1533.6,3.76,target
2022-01-13 11:30:00,2022-01-13 11:30:00,long,1530.4,1530.5,-1.34,session_end
2022-01-13 14:00:00,2022-01-13 14:05:00,long,1525.8,1524.240063262577,-2.9999,stop
2022-01-14 09:30:00,2022-01-14 09:35:00,short,1521.0,1519.0,0.56,target
2022-01-14 10:00:00,2022-01-14 10:00:00,short,1522.5,1523.660254533379,-2.6003,stop
2022-01-14 10:20:00,2022-01-14 10:30:00,short,1523.0,1524.7511046188413,-3.1911,stop
2022-01-14 10:50:00,2022-01-14 11:05:00,short,1523.6,1525.799678199051,-3.6397,stop
2022-01-14 11:25:00,2022-01-14 11:25:00,short,1526.6,1526.1819381920684,-1.0219,stop
