entry_z,exit_z,stop_mult,cooldown_bars,n_trades,win_rate_%,mean_pnl_pts,total_pnl_pts,sharpe,sortino,max_drawdown,profit_factor
1.5,0.5,1.0,0,5271,22.71,-1.3194,-6954.4434,-41.3656,-46.0475,-6954.4428,0.1561
1.0,0.25,1.0,2,5819,21.96,-1.318,-7669.282,-43.5572,-48.4379,-7669.2795,0.1533
1.0,0.0,1.0,0,6432,21.83,-1.3355,-8590.0613,-45.1804,-49.5386,-8590.0608,0.15
0.5,0.0,1.0,2,6379,21.24,-1.3197,-8418.305,-45.805,-50.4836,-8418.3026,0.1472
1.0,0.5,1.0,2,5929,21.3,-1.3121,-7779.3365,-45.9709,-51.9289,-7779.336,0.1488
1.0,0.25,1.0,0,6615,21.13,-1.3336,-8821.4701,-47.9549,-53.5846,-8821.4677,0.1459
0.5,0.25,1.0,2,6529,20.34,-1.3137,-8577.3823,-48.4414,-54.4953,-8577.3803,0.1438
1.0,0.5,1.0,0,6836,20.33,-1.3168,-9001.9669,-50.9851,-57.9101,-9001.9653,0.1415
0.5,0.0,1.0,0,7871,19.71,-1.3316,-10481.4142,-53.1903,-59.0781,-10481.4129,0.1371
0.5,0.25,1.0,0,8224,18.81,-1.3274,-10916.4682,-56.8831,-64.1537,-10916.4657,0.1317
