date,open,high,low,close,volume,day_vwap,prev_vwap,gap,gap_std,gap_z
2022-01-18,1475.5,1489.4,1468.0,1482.0,9694,1482.2366102743965,1510.6290182759178,-35.129018275917815,16.62031360932066,-2.113619459997282
2022-01-19,1482.5,1496.0,1477.1,1481.1,9653,1487.4761801167167,1482.2366102743965,0.2633897256034743,15.872755840781828,0.01659382455356289
2022-01-20,1482.7,1495.8,1480.5,1494.0,8032,1484.9212898406377,1487.4761801167167,-4.7761801167166595,15.134674183302618,-0.31557865460929424
2022-01-21,1493.1,1503.8,1490.9,1497.7,8489,1496.1724859622254,1484.9212898406377,8.178710159362254,14.95806228164986,0.5467760466137161
2022-01-24,1495.9,1495.9,1466.3,1468.7,9921,1483.708167859423,1496.1724859622254,-0.27248596222534616,14.409002664220239,-0.01891081350841655
2022-01-25,1468.5,1499.7,1465.2,1498.1,9866,1476.778559362119,1483.708167859423,-15.208167859422929,14.188822304344415,-1.071841449079703
2022-01-26,1510.5,1524.9,1509.1,1519.3,9206,1517.3761387500904,1476.778559362119,33.72144063788096,16.73075320479858,2.0155363135838527
2022-01-27,1513.2,1516.0,1499.1,1510.8,9488,1508.897319421023,1517.3761387500904,-4.176138750090331,16.206212385944962,-0.25768752442811
2022-01-28,1517.9,1534.2,1517.1,1528.5,10034,1526.6076572985182,1508.897319421023,9.002680578977106,15.948966335287347,0.5644679654918155
2022-02-07,1543.7,1547.8,1530.0,1532.8,8599,1542.752641780052,1526.6076572985182,17.09234270148181,16.090027482351335,1.0622941893809619
2022-02-08,1532.4,1543.6,1527.8,1535.8,8767,1534.9866773126496,1542.752641780052,-10.352641780051954,15.807651104580124,-0.6549133525000669
2022-02-09,1540.4,1555.3,1540.4,1544.4,8602,1549.7397620708364,1534.9866773126496,5.413322687350501,15.83666395427301,0.3418221604613825
2022-02-10,1543.6,1544.4,1528.6,1535.0,8559,1537.768002492503,1549.7397620708364,-6.139762070836468,15.742683918899933,-0.39000732673450655
2022-02-11,1538.8,1545.6,1535.2,1542.0,8375,1539.135896517413,1537.768002492503,1.0319975074969534,15.746880401846818,0.065536632092279
2022-02-14,1536.0,1536.0,1517.0,1517.0,9376,1526.9466296928326,1539.135896517413,-3.1358965174129025,15.74787471715157,-0.19913141130069356
2022-02-15,1511.5,1527.3,1511.0,1525.0,8041,1517.5141234506486,1526.9466296928326,-15.44662969283263,15.659210456841176,-0.9864245541245872
2022-02-16,1528.2,1532.3,1514.6,1521.2,8724,1521.965482194712,1517.5141234506486,10.685876549351406,15.610669320275324,0.6845239195139737
2022-02-17,1522.3,1536.8,1521.3,1536.0,7946,1528.7284252034567,1521.965482194712,0.33451780528798736,14.089174550548407,0.023742895943819974
2022-02-18,1524.6,1527.8,1518.5,1525.2,7571,1523.5459648659357,1528.7284252034567,-4.1284252034568,13.821831265674978,-0.29868872829530896
2022-02-21,1523.4,1531.5,1521.3,1530.0,7463,1526.2354191790612,1523.5459648659357,-0.14596486593563895,13.820847296495797,-0.010561209656997483
2022-02-22,1518.0,1518.9,1501.4,1516.8,9078,1511.3394286553573,1526.2354191790612,-8.235419179061182,11.384144508131387,-0.7234113352284701
2022-02-23,1526.5,1534.9,1524.7,1529.8,7764,1530.3899965653443,1511.3394286553573,15.160571344642676,11.833570678284737,1.281149346787033
2022-02-24,1519.5,1526.2,1503.0,1511.5,9308,1513.7349985675405,1530.3899965653443,-10.88999656534429,12.078762359382372,-0.9015821523208718
2022-02-25,1526.1,1529.8,1518.1,1518.5,6829,1525.0837848391661,1513.7349985675405,12.365001432459394,12.242600925433953,1.0099979169272073
2022-02-28,1511.3,1518.5,1507.8,1514.8,8781,1512.7256121170708,1525.0837848391661,-13.783784839166174,12.700140962559015,-1.0853253424353182
2022-03-01,1518.0,1518.0,1512.3,1514.4,7322,1515.2728899207866,1512.7256121170708,5.274387882929204,12.168049066293023,0.43346208206374687
2022-03-02,1512.3,1513.0,1495.9,1496.6,9662,1505.1165873180157,1515.2728899207866,-2.972889920786656,9.572474075698828,-0.3105665157489208
2022-03-03,1508.7,1517.4,1503.0,1516.9,7727,1507.8109054829388,1505.1165873180157,3.5834126819843277,9.558042460779482,0.3749107305903401
2022-03-04,1515.0,1517.4,1510.0,1513.0,7592,1514.410563751317,1507.8109054829388,7.189094517061221,9.478764061138703,0.758442184096054
2022-03-07,1496.2,1507.8,1496.0,1504.0,7725,1502.135892125135,1514.410563751317,-18.210563751317068,9.443708025186163,-1.9283276974203238
2022-03-08,1499.0,1499.3,1484.2,1485.7,8093,1494.2781374850695,1502.135892125135,-3.1358921251348875,9.22789353652377,-0.33982751455932014
2022-03-09,1493.8,1495.6,1486.2,1490.3,7913,1491.037309911959,1494.2781374850695,-0.47813748506951015,9.096779665659229,-0.05256118127984364
2022-03-10,1501.0,1501.9,1490.1,1490.8,7447,1498.0271384450114,1491.037309911959,9.962690088040972,9.377786414300807,1.0623711873889776
2022-03-11,1486.6,1487.5,1471.3,1474.4,8199,1482.542395414075,1498.0271384450114,-11.427138445011451,9.66275755739629,-1.1825960008967242
2022-03-14,1476.0,1476.0,1456.0,1465.5,9350,1465.4209518716577,1482.542395414075,-6.542395414074917,9.725311182992282,-0.6727183625256457
2022-03-15,1461.5,1469.4,1458.0,1463.7,8571,1462.5008828219188,1465.4209518716577,-3.920951871657735,9.1844618197661,-0.42691144550455434
2022-03-16,1470.9,1474.8,1465.2,1471.5,7928,1469.5640388496467,1462.5008828219188,8.39911717808127,9.044949395257367,0.9285974759002262
2022-03-17,1477.7,1478.8,1468.2,1470.5,7182,1474.757012902627,1469.5640388496467,8.135961150353296,9.274478829266238,0.8772418698805723
2022-03-21,1479.9,1496.1,1479.5,1494.2,6719,1484.4521655008184,1474.757012902627,5.1429870973731795,9.325142687778827,0.5515183273402755
2022-03-22,1498.9,1505.3,1494.1,1500.6,7680,1499.5715364583334,1484.4521655008184,14.447834499181681,9.885896293891163,1.4614592414963423
2022-03-23,1503.0,1510.2,1495.0,1497.9,8371,1503.1017958826105,1499.5715364583334,3.428463541666588,9.685255992262343,0.3539879115643019
2022-03-24,1495.4,1499.5,1491.0,1494.7,9296,1494.9347497131382,1503.1017958826105,-7.7017958826104405,9.277291635157855,-0.8301771880732078
2022-03-25,1497.0,1497.0,1488.2,1493.1,8361,1492.605732966551,1494.9347497131382,2.065250286861783,8.926736515484473,0.23135557807485008
2022-03-28,1490.2,1490.8,1475.5,1481.7,8662,1482.094978065112,1492.605732966551,-2.405732966550886,8.502295050975436,-0.2829510093601004
2022-03-29,1484.9,1493.5,1484.5,1492.5,7340,1489.66851044505,1482.094978065112,2.8050219348881456,7.889037152150523,0.3555594783988952
2022-03-30,1489.5,1503.7,1486.2,1490.0,9744,1493.7878010399563,1489.66851044505,-0.1685104450500603,7.815816036296837,-0.021560185688544068
2022-03-31,1491.6,1499.0,1490.0,1496.3,7449,1495.512525171164,1493.7878010399563,-2.187801039956412,7.799887858679747,-0.28049134546489896
2022-04-01,1493.1,1528.0,1492.2,1527.4,10095,1508.949195971603,1495.512525171164,-2.412525171164134,7.788295973403175,-0.3097629031309087
2022-04-04,1529.5,1537.3,1526.8,1530.1,8387,1531.733917570844,1508.949195971603,20.550804028396897,8.915482670133567,2.3050691464233437
2022-04-05,1526.3,1532.7,1523.6,1525.7,8487,1527.5819920662975,1531.733917570844,-5.43391757084396,7.877636253547208,-0.6897903629908184
2022-04-06,1519.2,1550.2,1517.8,1542.4,9944,1534.906731027085,1527.5819920662975,-8.381992066297471,8.122134117978376,-1.031993801696022
2022-04-07,1543.1,1544.3,1529.9,1530.3,8818,1539.192103273607,1534.906731027085,8.193268972914893,8.258484149781381,0.9921032509497262
2022-04-08,1528.9,1535.2,1524.9,1526.0,8870,1529.7010635099587,1539.192103273607,-10.292103273606926,8.422821771784403,-1.2219305539723548
2022-04-12,1524.2,1526.6,1507.6,1509.4,10849,1514.621233907887,1529.7010635099587,-5.5010635099586125,8.073919903250218,-0.6813373895056994
2022-04-13,1511.5,1521.0,1511.3,1519.3,9752,1516.0320207820616,1514.621233907887,-3.1212339078870173,7.94287528083994,-0.3929602061631458
2022-04-14,1522.4,1524.5,1509.4,1511.6,9159,1519.5504822214943,1516.0320207820616,6.367979217938455,7.934978918519037,0.8025199919657704
2022-04-15,1511.5,1517.3,1494.3,1497.0,9852,1509.4643287318988,1519.5504822214943,-8.050482221494349,8.044524576774558,-1.0007405838173447
2022-04-18,1494.0,1494.4,1472.4,1478.5,12797,1483.1565757599437,1509.4643287318988,-15.464328731898831,8.618249533716897,-1.7943700366760376
