date,open,high,low,close,volume,day_vwap
2022-01-04,1544.1,1562.9,1543.1,1559.0,7740,1554.4767829457364
2022-01-05,1558.4,1560.5,1548.3,1550.8,6410,1554.6208112324493
2022-01-06,1544.5,1556.9,1543.7,1547.4,7268,1549.5345395340305
2022-01-07,1547.6,1548.0,1533.5,1537.6,7245,1538.918366689671
2022-01-10,1540.1,1540.3,1515.3,1516.0,8198,1531.3716150280557
2022-01-11,1514.2,1518.5,1499.7,1502.3,8764,1513.3180549216493
2022-01-12,1500.7,1525.9,1486.3,1525.9,10708,1501.6645498692567
2022-01-13,1530.5,1541.8,1522.6,1527.6,9465,1532.2819510477195
2022-01-14,1519.0,1532.1,1515.1,1523.2,9919,1524.1007191585172
2022-01-17,1522.5,1525.4,1479.1,1484.2,10305,1510.6290182759178
2022-01-18,1475.5,1489.4,1468.0,1482.0,9694,1482.2366102743965
2022-01-19,1482.5,1496.0,1477.1,1481.1,9653,1487.4761801167167
2022-01-20,1482.7,1495.8,1480.5,1494.0,8032,1484.9212898406377
2022-01-21,1493.1,1503.8,1490.9,1497.7,8489,1496.1724859622254
2022-01-24,1495.9,1495.9,1466.3,1468.7,9921,1483.708167859423
2022-01-25,1468.5,1499.7,1465.2,1498.1,9866,1476.778559362119
2022-01-26,1510.5,1524.9,1509.1,1519.3,9206,1517.3761387500904
2022-01-27,1513.2,1516.0,1499.1,1510.8,9488,1508.897319421023
2022-01-28,1517.9,1534.2,1517.1,1528.5,10034,1526.6076572985182
2022-02-07,1543.7,1547.8,1530.0,1532.8,8599,1542.752641780052
2022-02-08,1532.4,1543.6,1527.8,1535.8,8767,1534.9866773126496
2022-02-09,1540.4,1555.3,1540.4,1544.4,8602,1549.7397620708364
2022-02-10,1543.6,1544.4,1528.6,1535.0,8559,1537.768002492503
2022-02-11,1538.8,1545.6,1535.2,1542.0,8375,1539.135896517413
2022-02-14,1536.0,1536.0,1517.0,1517.0,9376,1526.9466296928326
2022-02-15,1511.5,1527.3,1511.0,1525.0,8041,1517.5141234506486
2022-02-16,1528.2,1532.3,1514.6,1521.2,8724,1521.965482194712
2022-02-17,1522.3,1536.8,1521.3,1536.0,7946,1528.7284252034567
2022-02-18,1524.6,1527.8,1518.5,1525.2,7571,1523.5459648659357
2022-02-21,1523.4,1531.5,1521.3,1530.0,7463,1526.2354191790612
2022-02-22,1518.0,1518.9,1501.4,1516.8,9078,1511.3394286553573
2022-02-23,1526.5,1534.9,1524.7,1529.8,7764,1530.3899965653443
2022-02-24,1519.5,1526.2,1503.0,1511.5,9308,1513.7349985675405
2022-02-25,1526.1,1529.8,1518.1,1518.5,6829,1525.0837848391661
2022-02-28,1511.3,1518.5,1507.8,1514.8,8781,1512.7256121170708
2022-03-01,1518.0,1518.0,1512.3,1514.4,7322,1515.2728899207866
2022-03-02,1512.3,1513.0,1495.9,1496.6,9662,1505.1165873180157
2022-03-03,1508.7,1517.4,1503.0,1516.9,7727,1507.8109054829388
2022-03-04,1515.0,1517.4,1510.0,1513.0,7592,1514.410563751317
2022-03-07,1496.2,1507.8,1496.0,1504.0,7725,1502.135892125135
2022-03-08,1499.0,1499.3,1484.2,1485.7,8093,1494.2781374850695
2022-03-09,1493.8,1495.6,1486.2,1490.3,7913,1491.037309911959
2022-03-10,1501.0,1501.9,1490.1,1490.8,7447,1498.0271384450114
2022-03-11,1486.6,1487.5,1471.3,1474.4,8199,1482.542395414075
2022-03-14,1476.0,1476.0,1456.0,1465.5,9350,1465.4209518716577
2022-03-15,1461.5,1469.4,1458.0,1463.7,8571,1462.5008828219188
2022-03-16,1470.9,1474.8,1465.2,1471.5,7928,1469.5640388496467
2022-03-17,1477.7,1478.8,1468.2,1470.5,7182,1474.757012902627
2022-03-21,1479.9,1496.1,1479.5,1494.2,6719,1484.4521655008184
2022-03-22,1498.9,1505.3,1494.1,1500.6,7680,1499.5715364583334
2022-03-23,1503.0,1510.2,1495.0,1497.9,8371,1503.1017958826105
2022-03-24,1495.4,1499.5,1491.0,1494.7,9296,1494.9347497131382
2022-03-25,1497.0,1497.0,1488.2,1493.1,8361,1492.605732966551
2022-03-28,1490.2,1490.8,1475.5,1481.7,8662,1482.094978065112
2022-03-29,1484.9,1493.5,1484.5,1492.5,7340,1489.66851044505
2022-03-30,1489.5,1503.7,1486.2,1490.0,9744,1493.7878010399563
2022-03-31,1491.6,1499.0,1490.0,1496.3,7449,1495.512525171164
2022-04-01,1493.1,1528.0,1492.2,1527.4,10095,1508.949195971603
2022-04-04,1529.5,1537.3,1526.8,1530.1,8387,1531.733917570844
2022-04-05,1526.3,1532.7,1523.6,1525.7,8487,1527.5819920662975
2022-04-06,1519.2,1550.2,1517.8,1542.4,9944,1534.906731027085
2022-04-07,1543.1,1544.3,1529.9,1530.3,8818,1539.192103273607
2022-04-08,1528.9,1535.2,1524.9,1526.0,8870,1529.7010635099587
2022-04-12,1524.2,1526.6,1507.6,1509.4,10849,1514.621233907887
2022-04-13,1511.5,1521.0,1511.3,1519.3,9752,1516.0320207820616
2022-04-14,1522.4,1524.5,1509.4,1511.6,9159,1519.5504822214943
2022-04-15,1511.5,1517.3,1494.3,1497.0,9852,1509.4643287318988
2022-04-18,1494.0,1494.4,1472.4,1478.5,12797,1483.1565757599437
2022-04-19,1476.7,1484.5,1449.1,1453.1,10657,1476.7431109442932
2022-04-20,1456.2,1457.7,1436.5,1439.0,10936,1450.1316203365034
2022-04-21,1443.6,1451.4,1424.5,1433.0,11798,1437.5110753235012
2022-04-22,1441.7,1459.2,1435.0,1444.0,11269,1449.8074215399179
